property_id,title,price,price_per_sqft,bhk_count,super_area,floor,bathroom_count,property_type,latitude,longitude,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score,transaction_Resale,furnishing_status_Semi,furnishing_status_Unfurnished,locality_frequency,locality_Amrita Nagar,locality_Ardendale,locality_Attibele,locality_BEML Layout 3rd Stage,locality_BSF Campus,locality_Balagere,locality_Bengaluru,locality_Budigere Cross,locality_Carmelaram,locality_D Nagaraj Layout,locality_Dasanayakanahalli,locality_Devanahalli,locality_Devin Paradise Enclave,locality_Eastwood Township,locality_Electronic City Phase I,locality_Fathima Layout,locality_Govindaraja Nagar Ward,locality_Gundappa Reddy Layout,locality_Gunjur Village,locality_HBR Layout 2nd Block,locality_Halasuru,locality_Infosys Head Quater,locality_Ittamadu,locality_JP Nagar 6th Phase,locality_Jawahar Nagar,locality_Kadubeesanahalli,locality_Kaikondrahalli,locality_Kalena Agrahara,locality_Kanakapura,locality_Kaveri Nagar,locality_Kodigehalli,locality_Koralur,locality_Koramangala 3 Block,locality_Manyata Residency,locality_Maruthi Layout,locality_Narayanapura,locality_Other,locality_Palm Meadows,locality_Parangi Palaya,locality_Patel Layout,locality_Phase III,locality_Pragathi Nagar,locality_Prakash Nagar,locality_Prakruthi Nagar,locality_Royal Enclave,locality_Saint Thomas Town,locality_Shivananada Layout,locality_Veer Sandra,locality_Vinayaka Nagar,locality_Yeshwanthpur Industrial Area
1,"8 BHK Flat  for Sale in Rajajinagar, Bangalore",448300000.0,34936.0,8.0,8983.0,2.0,9.0,apartment,13.0098587,77.55329844,-0.2164807445168451,-0.2114187069491339,-1.117091447538699,0.6335,1.0,1.0,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,"2 BHK Flat  for Sale in Rajajinagar, Bangalore",50000000.0,27778.0,2.0,1500.0,16.0,3.0,apartment,12.99488039,77.55623702,-0.2198979135362648,-0.21026635859831994,-1.131402230635082,0.6348,1.0,1.0,0.0,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,"2 BHK Flat  for Sale in Sarjapur Road, Bangalore",18400000.0,12813.0,2.0,1436.0,1.0,2.0,apartment,12.899052,77.678117,-0.20439755608218224,-0.191411555410002,1.015215233822327,0.4363,0.0,0.0,1.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,"2 BHK Flat  for Sale in Kanakapura Road, Bangalore",17100000.0,11732.0,2.0,1460.0,1.0,2.0,apartment,12.89855376617697,77.56501055733317,-0.2112121986223507,-0.2010277037167943,-1.0807640750632663,0.6297,0.0,0.0,1.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,"2 BHK Flat  for Sale in Kanakapura Road, Bangalore",21000000.0,16484.0,2.0,1274.0,21.0,2.0,apartment,12.746104,77.487602,-0.18806013993458182,-0.17349055174734365,1.015215233822327,0.4338,1.0,1.0,0.0,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,"2 BHK Flat  for Sale in Whitefield, Bangalore",26000000.0,17508.0,2.0,1485.0,15.0,2.0,apartment,12.9680475,77.739097,-0.20176820700960277,-0.20705766448355348,-1.0565458267463108,0.6272,1.0,1.0,0.0,193,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,"2 BHK Flat  for Sale in Hennur Main Road, Bangalore",14300000.0,11607.0,2.0,924.0,10.0,2.0,apartment,13.0231661,77.6309661,-0.21265981777466972,-0.21209422149961105,1.015215233822327,0.4381,1.0,1.0,0.0,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,"2 BHK Flat  for Sale in Carmelaram, Bangalore",11500000.0,10952.0,2.0,811.0,6.0,2.0,house,12.902551,77.706854,-0.2026840476978046,-0.18967309884627406,1.015215233822327,0.436,1.0,1.0,0.0,58,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,"2 BHK Flat  for Sale in Tumkur Road, Bangalore",13500000.0,12442.0,2.0,762.0,22.0,2.0,apartment,13.158156,77.325762,-0.18782379395052973,-0.18501403525548316,1.015215233822327,0.4343,1.0,1.0,0.0,345,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,"2 BHK Flat  for Sale in Bannerghatta Main Road, Bangalore",17000000.0,12593.0,2.0,1000.0,10.0,3.0,apartment,12.8608413357241,77.591099347206,-0.19297416685299812,-0.19741171406424018,1.015215233822327,0.4355,1.0,1.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
