,property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude
0,1,"8 BHK Flat  for Sale in Rajajinagar, Bangalore",448300000.0,34936.0,8.0,8983.0,2.0,Resale,Semi,9.0,apartment,13.0098587,77.55329844
1,2,"2 BHK Flat  for Sale in Rajajinagar, Bangalore",50000000.0,27778.0,2.0,1500.0,16.0,Resale,Semi,3.0,apartment,12.99488039,77.55623702
2,3,"2 BHK Flat  for Sale in Sarjapur Road, Bangalore",18400000.0,12813.0,2.0,1436.0,1.0,New Property,Unfurnished,2.0,apartment,12.899052,77.678117
3,4,"2 BHK Flat  for Sale in Kanakapura Road, Bangalore",17100000.0,11732.0,2.0,1460.0,1.0,New Property,Unfurnished,2.0,apartment,12.89855376617697,77.56501055733317
4,5,"2 BHK Flat  for Sale in Kanakapura Road, Bangalore",21000000.0,16484.0,2.0,1274.0,21.0,Resale,Semi,2.0,apartment,12.746104,77.487602
5,6,"2 BHK Flat  for Sale in Whitefield, Bangalore",26000000.0,17508.0,2.0,1485.0,15.0,Resale,Semi,2.0,apartment,12.9680475,77.739097
6,7,"2 BHK Flat  for Sale in Hennur Main Road, Bangalore",14300000.0,11607.0,2.0,924.0,10.0,Resale,Semi,2.0,apartment,13.0231661,77.6309661
7,8,"2 BHK Flat  for Sale in Carmelaram, Bangalore",11500000.0,10952.0,2.0,811.0,6.0,Resale,Semi,2.0,house,12.902551,77.706854
8,9,"2 BHK Flat  for Sale in Tumkur Road, Bangalore",13500000.0,12442.0,2.0,762.0,22.0,Resale,Semi,2.0,apartment,13.158156,77.325762
9,10,"2 BHK Flat  for Sale in Bannerghatta Main Road, Bangalore",17000000.0,12593.0,2.0,1000.0,10.0,Resale,Semi,3.0,apartment,12.8608413357241,77.591099347206
10,11,"6 BHK Flat  for Sale in Lavelle Road, Bangalore",140000000.0,35000.0,6.0,3800.0,1.0,Resale,Semi,7.0,apartment,12.97083502,77.59765882
11,12,"2 BHK Flat  for Sale in Chandapura, Bangalore",5780000.0,6192.0,2.0,692.0,3.0,New Property,Unfurnished,2.0,apartment,12.798481,77.7138094
12,13,"2 BHK Flat  for Sale in Hebbal, Bangalore",30000000.0,15881.0,2.0,1200.0,8.0,New Property,Unfurnished,2.0,apartment,13.12173909,77.59683857
13,14,"2 BHK Flat  for Sale in Gunjur, Bangalore",14000000.0,11725.0,2.0,1194.0,1.0,New Property,Unfurnished,2.0,apartment,12.92660312,77.72741011
14,15,"2 BHK Flat  for Sale in Thanisandra Main Road, Bangalore",10800000.0,8617.0,2.0,1259.0,1.0,New Property,Unfurnished,2.0,apartment,13.0582034,77.6210251
15,16,"2 BHK Flat  for Sale in Krishnarajapura, Bangalore",9670000.0,7299.0,2.0,1325.0,1.0,New Property,Unfurnished,2.0,apartment,13.163665,77.619335
16,17,"2 BHK Flat  for Sale in Attibele, Bangalore",8630000.0,8024.0,2.0,1075.0,1.0,New Property,Unfurnished,2.0,apartment,12.7808916,77.7739656
17,18,"2 BHK Flat  for Sale in RR Nagar, Bangalore",14100000.0,9870.0,2.0,1430.0,1.0,New Property,Unfurnished,2.0,apartment,12.915409,77.515634
18,19,"2 BHK Flat  for Sale in Hosa Road, off Hosur Road, Bangalore",12800000.0,12308.0,2.0,1040.0,1.0,New Property,Unfurnished,2.0,apartment,12.877316,77.6381045
19,20,"2 BHK Flat  for Sale in Chambenahalli, Bangalore",7950000.0,6850.0,2.0,1160.0,1.0,New Property,Unfurnished,2.0,apartment,12.91235,77.680996
20,21,"2 BHK Flat  for Sale in Electronic City, Bangalore",7930000.0,6500.0,2.0,1220.0,5.0,New Property,Unfurnished,2.0,apartment,12.8339509,77.675366
