property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score
1,"8 BHK Flat  for Sale in Rajajinagar, Bangalore",448300000.0,34936.0,8.0,8983.0,2.0,Resale,Semi,9.0,apartment,13.0098587,77.55329844,Rajajinagar,6.55,34.0,1.26,0.2357
2,"2 BHK Flat  for Sale in Rajajinagar, Bangalore",50000000.0,27778.0,2.0,1500.0,16.0,Resale,Semi,3.0,apartment,12.99488039,77.55623702,Prakash Nagar,3.08,35.16,1.0,0.3036
3,"2 BHK Flat  for Sale in Sarjapur Road, Bangalore",18400000.0,12813.0,2.0,1436.0,1.0,New Property,Unfurnished,2.0,apartment,12.899052,77.678117,Kasavanahalli,18.82,54.14,40.0,0.4238
4,"2 BHK Flat  for Sale in Kanakapura Road, Bangalore",17100000.0,11732.0,2.0,1460.0,1.0,New Property,Unfurnished,2.0,apartment,12.89855376617697,77.56501055733317,Vikram Nagar,11.9,44.46,1.92,0.1724
5,"2 BHK Flat  for Sale in Kanakapura Road, Bangalore",21000000.0,16484.0,2.0,1274.0,21.0,Resale,Semi,2.0,apartment,12.746104,77.487602,Kanakapura,35.41,72.18,40.0,0.4137
6,"2 BHK Flat  for Sale in Whitefield, Bangalore",26000000.0,17508.0,2.0,1485.0,15.0,Resale,Semi,2.0,apartment,12.9680475,77.739097,Palm Meadows,21.49,38.39,2.36,0.1419
7,"2 BHK Flat  for Sale in Hennur Main Road, Bangalore",14300000.0,11607.0,2.0,924.0,10.0,Resale,Semi,2.0,apartment,13.0231661,77.6309661,HBR Layout 2nd Block,10.43,33.32,40.0,0.4408
8,"2 BHK Flat  for Sale in Carmelaram, Bangalore",11500000.0,10952.0,2.0,811.0,6.0,Resale,Semi,2.0,house,12.902551,77.706854,Carmelaram,20.56,55.89,40.0,0.4221
9,"2 BHK Flat  for Sale in Tumkur Road, Bangalore",13500000.0,12442.0,2.0,762.0,22.0,Resale,Semi,2.0,apartment,13.158156,77.325762,Bengaluru,35.65,60.58,40.0,0.4142
10,"2 BHK Flat  for Sale in Bannerghatta Main Road, Bangalore",17000000.0,12593.0,2.0,1000.0,10.0,Resale,Semi,3.0,apartment,12.8608413357241,77.591099347206,Gottigere,30.42,48.1,40.0,0.4168
