property_id,title,price,price_per_sqft,bhk_count,super_area,floor,transaction,furnishing_status,bathroom_count,property_type,latitude,longitude,locality,dist_to_centre_km,dist_to_airport_km,dist_to_metro_km,accessibility_score,price_standard_scaled,price_per_sqft_standard_scaled,super_area_standard_scaled
1,"8 BHK Flat  for Sale in Rajajinagar, Bangalore",448300000.0,34936.0,8.0,8983.0,2.0,Resale,Semi,9.0,apartment,13.0098587,77.55329844,Rajajinagar,-0.2164807445168451,-0.2114187069491339,-1.117091447538699,0.6335,1.9047454346130022,0.12708522069030098,3.6125783645921397
2,"2 BHK Flat  for Sale in Rajajinagar, Bangalore",50000000.0,27778.0,2.0,1500.0,16.0,Resale,Semi,3.0,apartment,12.99488039,77.55623702,Prakash Nagar,-0.2198979135362648,-0.21026635859831994,-1.131402230635082,0.6348,0.08210085405035515,0.08122715932671402,-0.2805214647888517
3,"2 BHK Flat  for Sale in Sarjapur Road, Bangalore",18400000.0,12813.0,2.0,1436.0,1.0,New Property,Unfurnished,2.0,apartment,12.899052,77.678117,Kasavanahalli,-0.20439755608218224,-0.191411555410002,1.015215233822327,0.4363,-0.06250263263249609,-0.014646812216465434,-0.31381805560542037
4,"2 BHK Flat  for Sale in Kanakapura Road, Bangalore",17100000.0,11732.0,2.0,1460.0,1.0,New Property,Unfurnished,2.0,apartment,12.89855376617697,77.56501055733317,Vikram Nagar,-0.2112121986223507,-0.2010277037167943,-1.0807640750632663,0.6297,-0.06845151024919566,-0.021572289212000148,-0.3013318340492071
5,"2 BHK Flat  for Sale in Kanakapura Road, Bangalore",21000000.0,16484.0,2.0,1274.0,21.0,Resale,Semi,2.0,apartment,12.746104,77.487602,Kanakapura,-0.18806013993458182,-0.17349055174734365,1.015215233822327,0.4338,-0.050604877399096936,0.008871620762820352,-0.39810005110985985
6,"2 BHK Flat  for Sale in Whitefield, Bangalore",26000000.0,17508.0,2.0,1485.0,15.0,Resale,Semi,2.0,apartment,12.9680475,77.739097,Palm Meadows,-0.20176820700960277,-0.20705766448355348,-1.0565458267463108,0.6272,-0.027724578873329332,0.015431924595778305,-0.28832535326148495
7,"2 BHK Flat  for Sale in Hennur Main Road, Bangalore",14300000.0,11607.0,2.0,924.0,10.0,Resale,Semi,2.0,apartment,13.0231661,77.6309661,HBR Layout 2nd Block,-0.21265981777466972,-0.21209422149961105,1.015215233822327,0.4381,-0.08126447742362551,-0.022373107550984275,-0.5801907821379698
8,"2 BHK Flat  for Sale in Carmelaram, Bangalore",11500000.0,10952.0,2.0,811.0,6.0,Resale,Semi,2.0,house,12.902551,77.706854,Carmelaram,-0.2026840476978046,-0.18967309884627406,1.015215233822327,0.436,-0.09407744459805538,-0.02656939564726109,-0.6389800752984739
9,"2 BHK Flat  for Sale in Tumkur Road, Bangalore",13500000.0,12442.0,2.0,762.0,22.0,Resale,Semi,2.0,apartment,13.158156,77.325762,Bengaluru,-0.18782379395052973,-0.18501403525548316,1.015215233822327,0.4343,-0.08492532518774834,-0.01702364104657032,-0.6644727776424093
10,"2 BHK Flat  for Sale in Bannerghatta Main Road, Bangalore",17000000.0,12593.0,2.0,1000.0,10.0,Resale,Semi,3.0,apartment,12.8608413357241,77.591099347206,Gottigere,-0.19297416685299812,-0.19741171406424018,1.015215233822327,0.4355,-0.06890911621971102,-0.016056252493077496,-0.5406510805432945
11,"6 BHK Flat  for Sale in Lavelle Road, Bangalore",140000000.0,35000.0,6.0,3800.0,1.0,Resale,Semi,7.0,apartment,12.97083502,77.59765882,D' Souza Layout,-0.21825333939723573,-0.20997827151061643,-0.9376562440994389,0.6197,0.493946227514172,0.12749523967986084,0.9160747676815852
