iter	RMSE
0	246881788.2
1	245055371.8
2	243226388.6
3	241407468.9
4	239613532.5
5	237836230.8
6	236070273.9
7	234307906.2
8	232555090.4
9	230827001
10	229105756.9
11	227401283
12	225696143.6
13	224021953
14	222355470.9
15	220707446.7
16	219050322.1
17	217424384.9
18	215814423.6
19	214223723.5
20	212640195.9
21	211069518.1
22	209493619.8
23	207946748.5
24	206410821.9
25	204878164.6
26	203371489.5
27	201843050.2
28	200347475.2
29	198858732
30	197392877.8
31	195930805.6
32	194489289.1
33	193058113.1
34	191620604.3
35	190214473.4
36	188815981.5
37	187428296.2
38	186039669.2
39	184657980.7
40	183295118.7
41	181929454.3
42	180578396
43	179243876.2
44	177917612.8
45	176614272.7
46	175300225.4
47	174004228.9
48	172725552.7
49	171463053.3
50	170184654.3
51	168925852.3
52	167670910.6
53	166419681.2
54	165195427.2
55	163987696.1
56	162791482.9
57	161602913.2
58	160418510.7
59	159230246.8
60	158056252.7
61	156904786.4
62	155733542.1
63	154599122.4
64	153449849.2
65	152319594.8
66	151198474.1
67	150093789.4
68	149002298.8
69	147911349
70	146805823.4
71	145733427.7
72	144662945.5
73	143612179.2
74	142560787.4
75	141511279.4
76	140482345.6
77	139454069.2
78	138435198.4
79	137392994
80	136397703.1
81	135389117.6
82	134410476.3
83	133432256.5
84	132462790.3
85	131489339.4
86	130520964.5
87	129565791.6
88	128622254.6
89	127674641.1
90	126746415.1
91	125827403.5
92	124917042.4
93	123995407.2
94	123100344.2
95	122207993
96	121310919.7
97	120432006.4
98	119559623.2
99	118694720.3
100	117836808.4
101	116969175.3
102	116109485.2
103	115265431.5
104	114606215.5
105	113774420.6
106	112950855.9
107	112130890.8
108	111313971.5
109	110519558
110	109723909.9
111	108913922.7
112	108136333.2
113	107364686.5
114	106600887.1
115	105843106.3
116	105091296.1
117	104316791.7
118	103557517.1
119	102816087.6
120	102071365
121	101339603.9
122	100595294
123	99879018.2
124	99158203.79
125	98454371.26
126	97759085.91
127	97059584.9
128	96365008.44
129	95684350.8
130	94997877.99
131	94321336.39
132	93648846.78
133	92991220.9
134	92338605.1
135	91681120.76
136	91036948.43
137	90367263.31
138	89724942.66
139	89095256.91
140	88454144.58
141	87821462.18
142	87205823.03
143	86590316.22
144	85980936.36
145	85383160.18
146	84790220.38
147	84201460
148	83604175.59
149	83012980.85
150	82428825.54
151	81848070.21
152	81276086.01
153	80712348.04
154	80144337.12
155	79588712.41
156	79035215.73
157	78481916.61
158	77933889.12
159	77391286.27
160	76853214.05
161	76313676.78
162	75787172.61
163	75266478.87
164	74713605.06
165	74180498.33
166	73674897.23
167	73164908.13
168	72662993.08
169	72125615.92
170	71626741.74
171	71136953.05
172	70651431.48
173	70174484.31
174	69676628.64
175	69206023.51
176	68735620.43
177	68230326.95
178	67737577.94
179	67275616.08
180	66789541.96
181	66311155.01
182	65857809.5
183	65417015.39
184	64942071.4
185	64497397.85
186	64029830.98
187	63603647.71
188	63164978.02
189	62744394.97
190	62307511.51
191	61859289.31
192	61431675.06
193	61023497.21
194	60618830.56
195	60198824.67
196	59765684.64
197	59332433.81
198	58911970.58
199	58524578.77
200	58135885.02
201	57752428.54
202	57335363.81
203	56961345.7
204	56561327.96
205	56193474.01
206	55788416.28
207	55424381.57
208	55023700.76
209	54659222.13
210	54306051.37
211	53955192.7
212	53585488.62
213	53238329.49
214	52897061.25
215	52505907.65
216	52169113.44
217	51784907.06
218	51454568.35
219	51124996.92
220	50774815.6
221	50445568.55
222	50074534.75
223	49713813.55
224	49398494.35
225	49086769.69
226	48727769.96
227	48414284.63
228	48100019.49
229	47797518.3
