iter	Passed	Remaining
0	61	36872
1	64	19270
2	644	128338
3	646	96315
4	700	83363
5	702	69519
6	713	60441
7	943	69827
8	1113	73118
9	1316	77668
10	1525	81697
11	1530	74998
12	1722	77799
13	1725	72239
14	1952	76130
15	2199	80276
16	2389	81957
17	2578	83377
18	2584	79016
19	2584	74954
20	2750	75836
21	2754	72367
22	2897	72700
23	2933	70399
24	3072	70678
25	3206	70798
26	3207	68078
27	3384	69136
28	3387	66705
29	3406	64724
30	3424	62852
31	3430	60888
32	3431	58958
33	3435	57186
34	3586	57900
35	3587	56201
36	3589	54616
37	3590	53107
38	3591	51666
39	3737	52322
40	3742	51027
41	3875	51487
42	4009	51935
43	4166	52649
44	4317	53254
45	4319	52019
46	4458	52460
47	4621	53150
48	4656	52359
49	4656	51226
50	4809	51769
51	4942	52081
52	5084	52479
53	5102	51595
54	5171	51243
55	5172	50244
56	5173	49280
57	5173	48347
58	5174	47448
59	5315	47840
60	5453	48185
61	5455	47338
62	5597	47714
63	5599	46894
64	5733	47188
65	5867	47469
66	5996	47701
67	6003	46971
68	6004	46212
69	6005	45473
70	6149	45820
71	6153	45122
72	6287	45387
73	6288	44696
74	6420	44945
75	6584	45395
76	6588	44750
77	6613	44260
78	6651	43864
79	6805	44235
80	6806	43612
81	6943	43860
82	6943	43252
83	7117	43720
84	7151	43328
85	7291	43579
86	7434	43836
87	7615	44307
88	7778	44660
89	7932	44948
90	7936	44390
91	8117	44820
92	8127	44308
93	8200	44144
94	8201	43598
95	8211	43107
96	8421	43667
97	8423	43149
98	8650	43778
99	8701	43505
100	8733	43147
101	8981	43851
102	9245	44611
103	9619	45877
104	9625	45375
105	9806	45699
106	9813	45215
107	9971	45425
108	10149	45721
109	10150	45217
110	10154	44734
111	10436	45471
112	10438	44986
113	10440	44509
114	10441	44035
115	10442	43570
116	10443	43113
117	10577	43205
118	10750	43455
119	10761	43045
120	10945	43329
121	11119	43568
122	11266	43692
123	11270	43264
124	11429	43432
125	11431	43005
126	11433	42583
127	11583	42713
128	11602	42362
129	11603	41952
130	11748	42061
131	11887	42147
132	12033	42252
133	12034	41851
134	12035	41456
135	12100	41283
136	12103	40904
137	12253	41022
138	12386	41079
139	12388	40703
140	12424	40444
141	12562	40518
142	12568	40165
143	12570	39805
144	12716	39903
145	12717	39544
146	12717	39191
147	12718	38843
148	12854	38909
149	12997	38992
150	13141	39076
151	13143	38737
152	13148	38413
153	13158	38107
154	13194	37880
155	13203	37579
156	13204	37258
157	13348	37341
158	13504	37456
159	13652	37545
160	13654	37231
161	13794	37295
162	13796	36987
163	13813	36723
164	13953	36785
165	14108	36885
166	14109	36583
167	14141	36363
168	14152	36094
169	14324	36231
170	14328	35946
171	14397	35827
172	14586	36002
173	14587	35713
174	14774	35882
175	14775	35596
176	14818	35414
177	14993	35547
178	15190	35726
179	15373	35872
180	15528	35947
181	15668	35985
182	15815	36039
183	15817	35761
184	15974	35835
185	16127	35897
186	16286	35969
187	16287	35693
188	16433	35735
189	16434	35463
190	16603	35553
191	16750	35594
192	16767	35360
193	16771	35098
194	16772	34835
195	16910	34855
196	17055	34889
197	17193	34908
198	17331	34923
199	17333	34667
200	17468	34675
201	17477	34435
202	17618	34455
203	17619	34201
204	17751	34204
205	17752	33953
206	17895	33974
207	17898	33731
208	18041	33753
209	18182	33766
210	18183	33522
211	18184	33280
212	18325	33294
213	18326	33055
214	18326	32817
215	18468	32833
216	18469	32598
217	18604	32599
218	18604	32367
219	18618	32159
220	18751	32156
221	18888	32161
222	19041	32190
223	19046	31971
224	19052	31753
225	19053	31531
226	19214	31573
227	19378	31617
228	19529	31639
229	19530	31418
230	19668	31418
231	19677	31212
232	19677	30994
233	19838	31030
234	19985	31041
235	20136	31058
236	20272	31049
237	20278	30843
238	20411	30830
239	20577	30866
240	20579	30656
241	20580	30445
242	20597	30261
243	20744	30267
244	20745	30060
245	20877	30042
246	20878	29837
247	21017	29831
248	21026	29640
249	21158	29621
250	21310	29630
251	21447	29617
252	21464	29439
253	21633	29469
254	21783	29471
255	21923	29459
256	22073	29459
257	22216	29449
258	22222	29257
259	22357	29236
260	22490	29212
261	22625	29187
262	22626	28992
263	22759	28966
264	22759	28771
265	22765	28585
266	22899	28560
267	22934	28411
268	22969	28263
269	23114	28251
270	23148	28103
271	23288	28082
272	23430	28064
273	23576	28051
274	23644	27943
275	23646	27759
276	23787	27737
277	23927	27714
278	24069	27692
279	24214	27674
280	24396	27695
281	24574	27712
282	24575	27528
283	24740	27528
284	24881	27500
285	25018	27468
286	25052	27321
287	25053	27141
288	25054	26961
289	25199	26937
290	25336	26903
291	25474	26870
292	25617	26841
293	25750	26801
294	25889	26767
295	26032	26735
296	26172	26701
297	26309	26662
298	26445	26622
299	26582	26582
300	26714	26537
301	26716	26362
302	26749	26219
303	26879	26171
304	27016	26130
305	27151	26086
306	27318	26072
307	27388	25965
308	27390	25795
309	27549	25772
310	27618	25665
311	27776	25639
312	27915	25597
313	28054	25552
314	28199	25513
315	28205	25349
316	28343	25303
317	28484	25259
318	28618	25209
319	28749	25155
320	28893	25113
321	29030	25063
322	29165	25012
323	29312	24969
324	29318	24807
325	29319	24642
326	29454	24590
